Country,Strategy,Population Covered (%),Cumulative Cost ($USD Billions)
PER,LOS,86.33967327725354,0.29474999999999985
PER,LOS,86.76898159933044,0.30509999999999987
PER,LOS,86.92753937674475,0.3089999999999999
PER,LOS,87.93209814070195,0.3337499999999999
PER,LOS,88.03903501688056,0.33644999999999986
PER,LOS,88.14362497060176,0.33914999999999984
PER,LOS,88.30040166932265,0.34319999999999984
PER,LOS,88.56020370679313,0.3499499999999998
PER,LOS,88.66379109169756,0.3526499999999998
PER,LOS,88.84252936415832,0.3575999999999998
PER,LOS,89.52159884510148,0.37649999999999983
PER,LOS,89.69225200767254,0.38129999999999986
PER,LOS,90.09735816660847,0.39284999999999987
PER,LOS,90.41153057434242,0.4018499999999999
PER,LOS,90.61536344809542,0.4076999999999999
PER,LOS,90.81749879055641,0.4135499999999999
PER,LOS,91.15823927193452,0.42344999999999994
PER,LOS,91.26450776890196,0.4265999999999999
PER,LOS,91.78879809353944,0.44264999999999993
PER,LOS,91.80341129356556,0.44309999999999994
PER,LOS,91.95718028583617,0.44789999999999996
PER,LOS,92.373770414855,0.4614
PER,LOS,92.51246289878267,0.4659
PER,LOS,92.62028841550341,0.4695
PER,LOS,92.97215209409474,0.48164999999999997
PER,LOS,93.06913163907052,0.48524999999999996
PER,LOS,93.25858296695583,0.49244999999999994
PER,LOS,93.2818926919455,0.49334999999999996
PER,LOS,93.36316912306786,0.49649999999999994
PER,LOS,93.64002622325073,0.5073
PER,LOS,93.66243211726166,0.5082
PER,LOS,93.7145656957332,0.51045
PER,LOS,93.83634362848719,0.5158499999999999
PER,LOS,93.85640639764985,0.5167499999999999
PER,LOS,93.92648747698506,0.5198999999999999
PER,LOS,94.08528070616694,0.5270999999999999
PER,LOS,94.27515356866839,0.5357999999999999
PER,LOS,94.49900743788336,0.5461499999999999
PER,LOS,94.6416152568492,0.5529
PER,LOS,94.68898663344113,0.5551499999999999
PER,LOS,94.97037428134519,0.5690999999999999
PER,LOS,94.99732211590478,0.5704499999999999
PER,LOS,95.03321711763212,0.5722499999999999
PER,LOS,95.06882729867289,0.57405
PER,LOS,95.14841379372155,0.5781
PER,LOS,95.20882616014966,0.5812499999999999
PER,LOS,95.38697960080064,0.5906999999999999
PER,LOS,95.80802052774843,0.6130499999999999
PER,LOS,95.92206652826407,0.6191999999999999
PER,LOS,95.98735882245558,0.6227999999999999
PER,LOS,96.09316780871534,0.6286499999999999
PER,LOS,96.10646323836487,0.6294
PER,LOS,96.41656460908531,0.6478499999999999
